"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
1,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
2,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升語文能力","Excel、Outlook、PowerPoint、Word、Adobe Photoshop"," 不拘 "
3,"應屆畢業生、日間就讀中、夜間就讀中、外籍人士、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
4,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 大學、碩士 "," 一般商業學類、市場行銷相關、大眾傳播學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通 贊助提升英文能力","Windows XP、Windows 7、Adobe Acrobat、Excel、PowerPoint、Word、中文打字50~75、英文打字20~50"," 不拘 "
5,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 日文相關科系、商業及管理學科類、經濟社會及心理學科類 "," 日文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升日文能力","Excel、PowerPoint、Word"," 不拘 "
6,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學 "," 不拘 "," 不拘 ","Google Analytics、Adobe Photoshop"," 不拘 "
7,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 專科以上 "," 藝術商業設計、商業及管理學科類、大眾傳播學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通 贊助提升英文能力","PowerPoint、Adobe InDesign、Google Analytics、Google Trend、Adobe Photoshop","行銷製作物規劃與執行、品牌行銷管理、實體活動規劃與執行、網站企劃能力、網路活動規劃與執行、廣告製作規劃與執行、行銷策略擬定、社群媒體經營管理、廣告企劃案╱文案撰寫"
8,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 中文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升語文能力"," 不拘 "," 不拘 "
9,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學 "," 不拘 "," 不拘 ","C#、MS SQL、MySQL"," 不拘 "
10,"上班族、應屆畢業生、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 大學以上 "," 資訊管理相關、資訊工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力"," 不拘 "," 不拘 "
11,"上班族、應屆畢業生、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 ","Excel"," 不拘 "
12,"應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力","HTML"," 不拘 "
13,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 泰文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升語文能力"," 不拘 "," 不拘 "
14,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 日文相關科系、商業及管理學科類、經濟社會及心理學科類 "," 日文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升日文能力","Excel、PowerPoint、Word"," 不拘 "
15,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 台語 -- 精通 贊助提升語文能力"," 不拘 "," 不拘 "
16,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 台語 -- 中等 贊助提升語文能力"," 不拘 "," 不拘 "
17,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
18,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 不拘 ","Adobe Photoshop","視覺設計相關知識、多媒體企劃設計、多媒體影像處理、設計表現能力"
19,"上班族、應屆畢業生、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 日文 -- 聽 /精通、說 /精通、讀 /精通、寫 /中等 贊助提升日文能力"," 不拘 "," 不拘 "
20,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
